database,table,name,type,position,default_kind,default_expression,data_compressed_bytes,data_uncompressed_bytes,marks_bytes,comment,is_in_partition_key,is_in_sorting_key,is_in_primary_key,is_in_sampling_key,compression_codec,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision
opensource,events,release_assets.state,Array(String),128,,,964516,219623580,26729064,,0,0,0,0,,,,,,
opensource,events,release_assets.size,Array(UInt64),129,,,89364477,195220960,26729064,,0,0,0,0,,,,,,
opensource,events,release_assets.download_count,Array(UInt16),130,,,1026905,48805240,26729064,,0,0,0,0,,,,,,
opensource,events,commit_comment_id,UInt64,131,,,419480554,64428430360,26729064,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,commit_comment_author_id,UInt64,132,,,311238520,64428430360,26729064,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,commit_comment_author_login,LowCardinality(String),133,,,134015297,14545304989,53458128,,0,0,0,0,,,,,,
opensource,events,commit_comment_author_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",134,,,39780882,8053553795,26729064,,0,0,0,0,,,,,,
opensource,events,commit_comment_author_association,"Enum8('COLLABORATOR' = 1, 'CONTRIBUTOR' = 2, 'MEMBER' = 3, 'NONE' = 4, 'OWNER' = 5, 'MANNEQUIN' = 6)",135,,,40505400,8053553795,26729064,,0,0,0,0,,,,,,
opensource,events,commit_comment_path,String,136,,,74286318,8169270205,26729064,,0,0,0,0,,,,,,
opensource,events,commit_comment_position,String,137,,,44942359,8060040795,26729064,,0,0,0,0,,,,,,
opensource,events,commit_comment_line,String,138,,,46218165,8061354644,26729064,,0,0,0,0,,,,,,
opensource,events,commit_comment_sha,String,139,,,1075790841,9275838656,26729064,,0,0,0,0,,,,,,
opensource,events,commit_comment_created_at,Nullable(DateTime),140,,,298972535,40267768975,53458128,,0,0,0,0,,,,,,0.0
opensource,events,commit_comment_updated_at,Nullable(DateTime),141,,,298972536,40267768975,53458128,,0,0,0,0,,,,,,0.0
