src_entity_id,src_entity_type,tar_entity_id,tar_entity_type,relation_label_id,relation_type,relation_label_repr,event_id,event_trigger,event_type,event_time,tar_entity_match_text,tar_entity_match_pattern_type
1060744581,PullRequestReviewComment,2126764,Actor,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26199715375,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 16:22:14,@jdconrad,Actor
1060897890,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26203217433,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 19:37:56,,
1060897890,PullRequestReviewComment,1235021900,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26203217433,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 19:37:56,,
1060897890,PullRequestReviewComment,832460,Actor,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26203217433,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 19:37:56,@javanna,Actor
1060897890,PullRequestReviewComment,2126764,Actor,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26203217433,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 19:37:56,@jdconrad,Actor
1061492674,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26219338546,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-04 13:40:19,,
1061492674,PullRequestReviewComment,1235896930,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26219338546,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-04 13:40:19,,
1066073363,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26340672590,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 17:24:57,,
1066073363,PullRequestReviewComment,1242681274,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26340672590,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 17:24:57,,
1066104151,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26341204347,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 17:49:08,,
1066104151,PullRequestReviewComment,1242714548,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26341204347,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 17:49:08,,
1066159785,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26342091608,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 18:33:17,,
1066159785,PullRequestReviewComment,1242771316,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26342091608,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 18:33:17,,
1073984732,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26514278075,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-18 19:31:20,,
1073984732,PullRequestReviewComment,1254180317,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26514278075,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-18 19:31:20,,
1073987070,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26514326378,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-18 19:33:29,,
1073987070,PullRequestReviewComment,1254185447,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26514326378,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-18 19:33:29,,
1085593036,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26629305081,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 16:38:32,,
1085593036,PullRequestReviewComment,1267857728,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26629305081,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 16:38:32,,
1085594141,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26629322073,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 16:39:14,,
1085594141,PullRequestReviewComment,1267858876,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26629322073,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 16:39:14,,
1085594141,PullRequestReviewComment,7405510,Actor,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26629322073,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 16:39:14,@droberts195,Actor
1085595770,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26629349251,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 16:40:19,,
1085595770,PullRequestReviewComment,1267860777,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26629349251,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 16:40:19,,
1085595770,PullRequestReviewComment,7405510,Actor,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26629349251,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 16:40:19,@droberts195,Actor
1085595770,PullRequestReviewComment,299848,Actor,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26629349251,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 16:40:19,@jpountz,Actor
1085595770,PullRequestReviewComment,832460,Actor,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26629349251,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 16:40:19,@javanna,Actor
1085678424,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26630899770,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 17:45:09,,
